word_id,compound_hanzi,pinyin,meaning,hsk_level
104,开玩笑,kāiwánxiào,Make fun of,1
105,看病,kàn bìng,see a doctor,1
106,看到,kàn dào,see,1
107,看见,kànjiàn,seeing,1
108,考试,kǎoshì,Examination,1
109,课本,kè běn,textbook,1
110,课文,kè wén,text,1
111,来到,lái dào,come; arrive,1
112,老人,lǎo rén,old people; the aged,1
113,老师,lǎoshī,Teacher,1
114,里边,lǐ biān,inside,1
115,楼上,lóu shàng,upstairs,1
116,楼下,lóu xià,downstairs,1
117,路口,lù kǒu,intersection; crossing,1
118,路上,lù shàng,on the road,1
119,妈妈,mā ma,mom; mother,1
120,马路,mǎ lù,road; street,1
121,马上,mǎshàng,Right off,1
122,没关系,méiguānxi,No problem,1
123,没什么,méi shén me,It’s nothing,1
124,没事儿,méi shìr,It’s okay,1
125,没有,méi yǒu,have not; no,1
126,妹妹,mèi mei,younger sister,1
127,门口,mén kǒu,doorway,1
128,门票,mén piào,tickets,1
129,米饭,mǐfàn,Steamed Rice,1
130,面包,miànbāo,Bread,1
131,面条儿,miàn tiáor,noodles,1
132,名字,míngzi,Name,1
133,明白,míngbai,clear,1
134,明年,míng nián,next year,1
135,明天,míngtiān,Tomorrow,1
136,哪里,nǎ lǐ,where,1
137,哪儿,nǎr,where,1
138,哪些,nǎ xiē,which,1
139,那边,nà biān,there,1
140,那里,nà lǐ,there,1
141,那儿,nàr,there,1
142,那些,nà xiē,those,1
143,奶奶,nǎinai,grandma,1
144,男孩儿,nán háir,boy,1
145,男朋友,nán péng yǒu,boyfriend,1
146,男人,nán ren,man,1
147,男生,nán shēng,boy,1
148,南边,nán biān,south; south side,1
149,你们,nǐ men,you,1
150,牛奶,niúnǎi,milk,1
151,女儿,nǚ’ér,daughter,1
152,女孩儿,nǚ háir,girl,1
153,女朋友,nǚ péng yǒu,girlfriend,1
154,女人,nǚ ren,woman,1
155,女生,nǚ shēng,girl,1
156,旁边,pángbiān,Side,1
157,朋友,péngyou,Friend,1
158,起床,qǐchuáng,Get up,1
159,起来,qǐlái,get up,1
160,汽车,qì chē,car,1
161,前边,qián biān,in front,1
162,前天,qián tiān,the day before yesterday,1
163,钱包,qián bāo,wallet,1
164,请假,qǐngjià,ask for leave,1
165,请进,qǐng jìn,please come in,1
166,请问,qǐng wèn,excuse me,1
167,请坐,qǐng zuò,please have a seat,1
168,去年,qùnián,Last year,1
169,认识,rènshi,know,1
170,认真,rènzhēn,earnest,1
171,日期,rìqī,Date,1
172,商场,shāng chǎng,mall; shopping mall,1
173,商店,shāngdiàn,Shop,1
174,上班,shàngbān,go to work,1
175,上边,shàng biān,above; on,1
176,上车,shàng chē,get on,1
177,上次,shàng cì,last time,1
178,上课,shàng kè,attend class; have a class,1
179,上网,shàngwǎng,Surf the Internet,1
180,上午,shàngwǔ,morning,1
181,上学,shàng xué,go to school,1
182,身上,shēn shàng,body; on one’s body,1
183,身体,shēntǐ,body,1
184,什么,shénme,What,1
185,生病,shēngbìng,Fall ill,1
186,生气,shēngqì,get angry,1
187,生日,shēngrì,Birthday,1
188,时候,shíhou,time,1
189,时间,shíjiān,time,1
190,是不是,shì bú shì,isn’t it?,1
191,手机,shǒujī,Mobile phone,1
192,书包,shū bāo,school bag,1
193,书店,shū diàn,bookstore,1
194,水果,shuǐguǒ,Fruits,1
195,睡觉,shuìjiào,sleep,1
196,说话,shuōhuà,talk,1
197,他们,tā men,they,1
198,她们,tā men,they,1
199,天气,tiānqì,weather,1
200,听到,tīng dào,hear,1
201,听见,tīng jiàn,hear,1
202,听写,tīng xiě,dictation; dictate,1
203,同学,tóngxué,Classmate,1
204,图书馆,túshūguǎn,Library,1
205,外边,wài biān,outside,1
206,外国,wài guó,foreign country,1
207,外语,wài yǔ,foreign language,1
208,玩儿,wánr,play,1
209,晚饭,wǎn fàn,dinner,1
210,晚上,wǎnshang,Night,1
211,网上,wǎng shàng,online,1
212,网友,wǎng yǒu,net friend,1
213,忘记,wàngjì,forget,1
214,我们,wǒmen,We,1
215,午饭,wǔ fàn,lunch,1
216,西边,xī biān,west; west side,1
217,洗手间,xǐshǒujiān,Restroom,1
218,喜欢,xǐhuan,like,1
219,下班,xià bān,get off work,1
220,下边,xià biān,below; under,1
221,下车,xià chē,get off,1
222,下次,xià cì,next time,1
223,下课,xià kè,finish class,1
224,下午,xiàwǔ,Afternoon,1
225,下雨,xiàyǔ,rain,1
226,先生,xiānsheng,Sir,1
227,现在,xiànzài,Now,1
228,小孩儿,xiǎo háir,child; kid,1
229,小姐,xiǎojiě,Miss,1
230,小朋友,xiǎo péng yǒu,child; kid,1
231,小时,xiǎoshí,hour,1
232,小学,xiǎo xué,primary school; elementary schoo,1
233,小学生,xiǎo xué shēng,elementary school student,1
234,谢谢,xièxie,Thank you,1
235,新年,xīn nián,New Year,1
236,星期,xīngqī,week,1
237,星期日,xīng qī rì,Sunday,1
238,星期天,xīng qī tiān,Sunday,1
239,休息,xiūxi,Rest,1
240,学生,xuésheng,Student,1
241,学习,xuéxí,Study,1
242,学校,xuéxiào,School,1
243,学院,xué yuàn,college; academy,1
244,爷爷,yéye,grandpa,1
245,衣服,yīfu,clothes,1
246,医生,yīshēng,Doctor,1
247,医院,yīyuàn,Hospital,1
248,一半,yí bàn,half,1
249,一会儿,yíhuìr,A little while,1
250,一块儿,yí kuàir,together,1
251,一下儿,yí xiàr,a little bit,1
252,一样,yíyàng,equally,1
253,一边,yìbiān,One side,1
254,一点儿,yīdiǎnr,a little bit,1
255,一起,yìqǐ,together,1
256,一些,yì xiē,some,1
257,有的,yǒu de,some,1
258,有名,yǒumíng,Famous,1
259,有时候,yǒu shí hòu,sometimes,1
260,有些,yǒuxiē,some,1
261,有用,yǒu yòng,useful,1
262,右边,yòubian,Right,1
263,再见,zàijiàn,Bye,1
264,在家,zài jiā,at home,1
265,早饭,zǎo fàn,breakfast,1
266,早上,zǎoshang,Morning,1
267,怎么,zěnme,How,1
268,找到,zhǎo dào,find,1
269,这边,zhè biān,here,1
270,这里,zhè lǐ,here,1
271,这儿,zhèr,here,1
272,这些,zhè xiē,these,1
273,真的,zhēn de,really,1
274,正在,zhèngzài,in process of,1
275,知道,zhīdào,know,1
276,知识,zhīshi,knowledge,1
277,中国,zhōngguó,China,1
278,中间,zhōngjiān,Middle,1
279,中文,zhōngwén,Chinese,1
280,中午,zhōngwǔ,Noon,1
281,中学,zhōng xué,middle school,1
282,中学生,zhōng xué shēng,middle School student,1
283,重要,zhòngyào,important,1
284,准备,zhǔnbèi,Get ready,1
285,桌子,zhuōzi,Table,1
286,走路,zǒu lù,walk,1
287,最好,zuìhǎo,Best,1
288,最后,zuìhòu,Last,1
289,昨天,zuótiān,Yesterday,1
290,左边,zuǒbian,left,1
291,坐下,zuò xià,sit down,1
292,爱情,àiqíng,Love,2
293,爱人,ài rén,lover,2
294,安静,ānjìng,Be quiet,2
295,安全,ānquán,security,2
296,白色,bái sè,white,2
297,班长,bān zhǎng,monitor; squad leader,2
298,办法,bànfǎ,Way,2
299,办公室,bàngōngshì,Office,2
300,半夜,bàn yè,midnight,2
301,帮助,bāngzhù,Help,2
302,报名,bàomíng,sign up,2
303,报纸,bàozhǐ,Newspaper,2
304,北方,běifāng,north,2
305,比如,bǐrú,such as,2
306,比如说,bǐ rú shuō,for example,2
307,笔记,bǐ jì,note; notes,2
308,笔记本,bǐjìběn,Notebook,2
309,必须,bìxū,Must,2
310,变成,biàn chéng,become; change into,2
311,表示,biǎoshì,Express,2
312,不错,bú cuò,not bad; pretty good,2
313,不但,bú dàn,not only,2
314,不够,bú gòu,not enough,2
315,不过,búguò,However,2
316,不太,bú tài,not too; not very much,2
317,不要,bú yào,don’t,2
318,不好意思,bù hǎo yì sī,sorry; feel embarrassed,2
319,不久,bù jiǔ,soon,2
320,不满,bù mǎn,dissatisfied,2
321,不如,bùrú,not as good as,2
322,不少,bù shǎo,not a few; a lot,2
323,不同,bù tóng,different,2
324,不行,bù xíng,no way; be out of the question,2
325,不一定,bù yī dìng,not necessarily; uncertain,2
326,不一会儿,bù yī huìr,in a moment; in a little while; soon,2
327,部分,bùfen,Part,2
328,菜单,càidān,menu,2
329,参观,cānguān,visit,2
330,参加,cānjiā,participate in,2
331,草地,cǎo dì,grass; lawn,2
332,差不多,chàbuduō,Almost,2
333,常见,cháng jiàn,common,2
334,常用,cháng yòng,in common use,2
335,超过,chāoguò,Exceed,2
336,超市,chāoshì,Supermarket,2
337,车辆,chē liàng,car; vehicle,2
338,成绩,chéngjì,achievement,2
339,成为,chéngwéi,Become,2
340,重复,chóngfù,repeat,2
341,重新,chóngxīn,again,2
342,出发,chūfā,Set out,2
343,出国,chū guó,go abroad,2
344,出口,chū kǒu,export,2
345,出门,chū mén,go out,2
346,出生,chūshēng,Birth,2
347,出现,chūxiàn,Appear,2
348,出院,chū yuàn,discharged; leave hospital,2
349,出租,chū zū,rent,2
350,出租车,chūzūchē,Taxi,2
351,春节,chūn jié,Spring Festival; Chinese New Year,2
352,春天,chūn tiān,spring,2
353,词典,cídiǎn,Dictionary,2
354,词语,cíyǔ,terms,2
355,从小,cóng xiǎo,from childhood,2
356,答应,dāying,promise,2
357,打工,dǎgōng,Work,2
358,打算,dǎsuàn,Plan,2
359,打印,dǎyìn,Print,2
360,大部分,dà bù fèn,most,2
361,大大,dà dà,greatly; enormously,2
362,大多数,dà duō shù,most; great majority,2
363,大海,dà hǎi,sea,2
364,大家,dàjiā,everybody,2
365,大量,dà liàng,a lot of; lots of,2
366,大门,dà mén,door; gate,2
367,大人,dà rén,adult,2
368,大声,dà shēng,loud,2
369,大小,dà xiǎo,size,2
370,大衣,dà yī,overcoat,2
371,大自然,dà zì rán,nature,2
372,带来,dài lái,bring,2
373,单位,dānwèi,Company,2
374,但是,dàn shì,but; however,2
375,当时,dāngshí,at that time,2
376,到处,dàochù,everywhere,2
377,道理,dàolǐ,truth,2
378,道路,dào lù,road; way; path,2
379,得出,dé chū,obtain results; reach conclusion,2
380,的话,de huà,if,2
381,等到,děng dào,wait until; by the time,2
382,等于,děngyú,Be equal to,2
383,地球,dìqiú,earth,2
384,地铁,dìtiě,metro,2
385,地铁站,dì tiě zhàn,subway station,2
386,点头,diǎn tóu,nod,2
387,东北,dōng běi,northeast,2
388,东方,dōng fāng,east,2
389,东南,dōng nán,southeast,2
390,冬天,dōng tiān,winter,2
391,懂得,dǒng de,know; understand; comprehend,2
392,动物,dòngwù,Animal,2
393,动物园,dòng wù yuán,zoo,2
394,读音,dú yīn,pronunciation,2
395,短信,duǎnxìn,message,2
396,队长,duì zhǎng,team leader; captain,2
397,对话,duìhuà,dialogue,2
398,对面,duìmiàn,Opposite side,2
399,多久,duō jiǔ,how long,2
400,多么,duōme,what,2
401,多数,duō shù,most; majority,2
402,多云,duō yún,cloudy,2
403,而且,ér qiě,and,2
404,发现,fāxiàn,find,2
405,饭馆,fàn guǎn,restaurant,2
406,方便,fāngbiàn,convenient,2
407,方便面,fāng biàn miàn,Instant noodles,2
408,方法,fāngfǎ,Method,2
409,方面,fāngmiàn,Aspect,2
410,方向,fāngxiàng,direction,2
411,放下,fàng xià,put down; lay down; drop,2
412,放心,fàngxīn,Don’t worry,2
413,分开,fēn kāi,separate; part,2
414,分数,fēn shù,score; mark; fraction,2
415,分钟,fēnzhōng,Minute,2
416,服务,fú wù,service,2
417,复习,fùxí,Review,2
418,改变,gǎibiàn,change,2
419,干杯,gānbēi,Cheers!,2
420,感到,gǎn dào,feel; sense,2
421,感动,gǎndòng,Be moved,2
422,感觉,gǎnjué,feel,2
423,感谢,gǎnxiè,Thank,2
424,干活儿,gànhuór,work on a job,2
425,刚才,gāngcái,just,2
426,刚刚,gāng gāng,just; only; just a moment ago,2
427,高级,gāojí,senior,2
428,高中,gāo zhōng,senior high school,2
429,个子,gèzi,Height,2
430,公共汽车,gōnggòngqìchē,Bus,2
431,公交车,gōng jiāo chē,bus,2
432,公斤,gōngjīn,Kg.,2
433,公里,gōnglǐ,kilometre,2
434,公路,gōng lù,highway; highroad,2
435,公平,gōngpíng,fair,2
436,公司,gōngsī,company,2
437,公园,gōngyuán,Park,2
438,故事,gùshi,Story,2
439,故意,gùyì,deliberately,2
440,顾客,gùkè,customer,2
441,关机,guān jī,shutdown,2
442,关心,guānxīn,Care for,2
443,观点,guāndiǎn,viewpoint,2
444,广场,guǎngchǎng,square,2
445,广告,guǎnggào,Advertisement,2
446,国际,guójì,international,2
447,过来,guò lái,come; come over,2
448,过年,guò nián,celebrate the New Year,2
449,过去,guò qù,go over; pass by,2
450,海边,hǎi biān,seaside,2
451,好处,hǎochu,benefit,2
452,好多,hǎo duō,many; a lot of,2
453,好久,hǎo jiǔ,for a long time; long,2
454,好人,hǎo rén,good person,2
455,好事,hǎo shì,good deed; good thing,2
456,好像,hǎoxiàng,Be like,2
457,合适,héshì,appropriate,2
458,黑板,hēibǎn,blackboard,2
459,黑色,hēi sè,black,2
460,红色,hóng sè,red,2
461,后来,hòulái,later,2
462,忽然,hūrán,suddenly,2
463,护照,hùzhào,passport,2
464,花园,huā yuán,garden,2
465,画家,huà jiā,painter; artist,2
466,画儿,huàr,painting; drawing,2
467,坏处,huài chù,disadvantage; harm,2
468,坏人,huài rén,bad person,2
469,欢迎,huānyíng,Welcome,2
470,黄色,huáng sè,yellow,2
471,回国,huí guó,return home from abroad,2
472,活动,huódòng,activity,2
473,或者,huòzhě,perhaps,2
474,机会,jīhuì,Opportunity,2
475,计划,jìhuà,plan,2
476,计算机,jì suàn jī,computer,2
477,加油,jiā yóu,oil; refuel; make an all-out effort,2
478,家庭,jiātíng,Family,2
479,家长,jiā zhǎng,parent; the head of the family,2
480,假期,jià qī,holiday; vacation,2
481,检查,jiǎnchá,inspect; check,2
482,见到,jiàn dào,see,2
483,见过,jiàn guò,seen; have seen,2
484,健康,jiànkāng,Healthy,2
485,讲话,jiǎng huà,speak; talk,2
486,交给,jiāo gěi,hand over,2
487,交朋友,jiāo péng yǒu,make friends,2
488,交通,jiāotōng,traffic,2
489,角度,jiǎodù,angle,2
490,饺子,jiǎozi,Dumplings,2
491,叫作,jiào zuò,be called; be known as,2
492,教师,jiào shī,teacher,2
493,教室,jiàoshì,Classroom,2
494,教学,jiào xué,teach,2
495,教育,jiàoyù,education,2
496,接到,jiē dào,receive,2
497,接受,jiēshòu,accept,2
498,接下来,jiē xià lái,next,2
499,接着,jiēzhe,Next,2
500,节目,jiémù,program,2
501,节日,jiérì,festival,2
502,结果,jiéguǒ,Result,2
503,今后,jīn hòu,from now on; in the future,2
504,进入,jìn rù,enter; go in; join,2
505,进行,jìnxíng,Conduct,2
506,经常,jīngcháng,Often,2
507,经过,jīngguò,"after, through",2
508,经理,jīnglǐ,manager,2
509,酒店,jiǔ diàn,hotel,2
510,就要,jiù yào,be going to; be about to,2
511,举手,jǔ shǒu,raise one’s hand or hands,2
512,举行,jǔxíng,hold,2
513,句子,jùzi,sentence,2
514,开机,kāi jī,starting up,2
515,开心,kāixīn,Happy,2
516,开学,kāi xué,school opens; term begins,2
517,看法,kànfǎ,view,2
518,考生,kǎo shēng,examinee,2
519,科学,kēxué,science,2
520,可爱,kě’ài,Lovely,2
521,可能,kěnéng,Probably,2
522,可怕,kěpà,dreadful,2
523,可是,kěshì,however,2
524,可以,kěyǐ,Sure,2
525,客人,kèrén,Guest,2
526,课堂,kè táng,classroom,2
527,空气,kōngqì,atmosphere,2
528,快餐,kuài cān,fast food,2
529,快点儿,kuài diǎnr,hurry up,2
530,快乐,kuàilè,happy,2
531,快要,kuài yào,be about to; be going to,2
532,筷子,kuàizi,chopsticks,2
533,来自,láizì,Come from,2
534,蓝色,lán sè,blue,2
535,篮球,lán qiú,basketball,2
536,老年,lǎo nián,elderly,2
537,老朋友,lǎo péng yǒu,old friend,2
538,老是,lǎo shì,always; all times,2
539,离开,líkāi,leave,2
540,礼物,lǐwù,gift,2
541,里头,lǐ tou,inside,2
542,理想,lǐxiǎng,ideal,2
543,例如,lìrú,for example,2
544,例子,lì zi,example,2
545,练习,liànxí,Practice,2
546,凉快,liángkuai,Pleasantly cool,2
547,零下,líng xià,below zero,2
548,留下,liú xià,stay; remain,2
549,留学生,liú xué shēng,student studying abroad; returned student,2
550,流利,liúlì,fluent,2
551,流行,liúxíng,Popular,2
552,路边,lù biān,roadside; wayside,2
553,旅客,lǚ kè,passenger; traveler,2
554,旅行,lǚxíng,travel,2
555,旅游,lǚyóu,Tourism,2
556,绿色,lǜ sè,green,2
557,满意,mǎnyì,Satisfied,2
558,面前,miàn qián,in front of; before,2
559,名称,míng chēng,name; designation,2
560,名单,míng dān,list,2
561,明星,míngxīng,Star,2
562,目的,mùdì,objective,2
563,拿出,ná chū,take out,2
564,拿到,ná dào,get,2
565,那会儿,nà huìr,at that time; then,2
566,那么,nà me,like that; in that way,2
567,那时候,nà shí hou,at that time,2
568,那样,nà yàng,that kind; like that; such,2
569,南方,nán fāng,south,2
570,难过,nánguò,Sorry,2
571,难看,nán kàn,ugly,2
572,难受,nánshòu,Uncomfortable,2
573,难题,nán tí,problem; difficult problem; puzzle,2
574,难听,nán tīng,unpleasant to hear,2
575,能够,néng gòu,be able to; can,2
576,年级,niánjí,grade,2
577,年轻,niánqīng,Young,2
578,努力,nǔlì,Strive,2
579,爬山,páshān,Mountain climbing,2
580,排队,páiduì,queue; stand in a line,2
581,排球,pái qiú,volleyball,2
582,碰到,pèng dào,meet; run into; bump into,2
583,碰见,pèng jiàn,meet; run into; bump into,2
584,便宜,piányi,Cheap,2
585,漂亮,piàoliang,Well done!； beautiful,2
586,平安,píng’ān,sound and safe,2
587,平常,píngcháng,Usual,2
588,平等,píngděng,equality,2
589,平时,píngshí,peacetime,2
590,瓶子,píngzi,Bottle,2
591,普通,pǔ tōng,ordinary; general; average; common,2
592,普通话,pǔtōnghuà,Mandarin,2
593,其他,qítā,Other,2
594,其中,qízhōng,among,2
595,骑车,qí chē,cycle,2
596,起飞,qǐfēi,take off,2
597,气温,qì wēn,air temperature,2
598,千克,qiān kè,kilogram,2
599,前年,qián nián,the year before last,2
600,青年,qīng nián,youth; young,2
601,青少年,qīngshàonián,Teenagers,2
602,清楚,qīngchu,clear,2
603,晴天,qíng tiān,sunny day,2
604,请客,qǐng kè,stand treat; entertain,2
605,请求,qǐngqiú,request,2
606,秋天,qiū tiān,fall; autumn,2
607,球场,qiú chǎng,court; field,2
608,球队,qiú duì,team,2
609,球鞋,qiú xié,sneakers; gym shoes,2
610,取得,qǔ dé,acquire; gain; obtain,2
611,全部,quánbù,whole,2
612,全国,quán guó,nationwide; entire country,2
613,全家,quán jiā,whole family,2
614,全年,quán nián,annual; yearly,2
615,全身,quán shēn,whole body,2
616,全体,quán tǐ,all; entire; whole,2
617,然后,ránhòu,Then,2
618,热情,rèqíng,Enthusiasm,2
619,人口,rénkǒu,population,2
620,人们,rén men,people,2
621,人数,rén shù,number of people,2
622,认为,rènwéi,think,2
623,日报,rì bào,"daily, journal",2
624,日子,rìzi,"life, days",2
625,如果,rúguǒ,If,2
626,入口,rùkǒu,Entrance,2
627,商量,shāngliang,discuss,2
628,商人,shāng rén,businessman,2
629,上周,shàng zhōu,last week,2
630,少数,shǎo shù,small number; few; minority,2
631,少年,shào nián,juvenile; young person,2
632,身边,shēn biān,at [by] one’s side,2
633,什么样,shén me yàng,what kind,2
634,生词,shēng cí,new word,2
635,生活,shēnghuó,Life,2
636,声音,shēngyīn,voice,2
637,十分,shífēn,very,2
638,实际,shíjì,Actual,2
639,实习,shíxí,Internship,2
640,实现,shíxiàn,Realization,2
641,实在,shízài,real; indeeed,2
642,食物,shíwù,food,2
643,使用,shǐyòng,Use,2
644,市长,shì zhǎng,mayor,2
645,事情,shìqing,Thing,2
646,收到,shōu dào,receive; obtain,2
647,收入,shōurù,income,2
648,手表,shǒubiǎo,Wrist Watch,2
649,受到,shòudào,Suffer,2
650,舒服,shūfu,comfortable,2
651,数字,shùzì,number,2
652,水平,shuǐpíng,level,2
653,顺利,shùnlì,smoothly,2
654,说明,shuōmíng,Explain,2
655,司机,sījī,Driver,2
656,送到,sòng dào,sent to (place),2
657,送给,sòng gěi,give to (somebody or organization),2
658,虽然,suī rán,although; though,2
659,随便,suíbiàn,casual,2
660,随时,suíshí,at any time,2
661,所以,suǒ yǐ,so,2
662,所有,suǒyǒu,All,2
663,它们,tā men,they,2
664,太太,tàitai,Ma’am,2
665,太阳,tàiyáng,sun,2
666,态度,tàidu,attitude,2
667,讨论,tǎolùn,discuss,2
668,特别,tèbié,Especially,2
669,特点,tèdiǎn,Characteristic,2
670,提出,tí chū,put forward; propose; raise,2
671,提到,tí dào,mention; refer to,2
672,提高,tígāo,"increase, promote",2
673,体育,tǐyù,Sports,2
674,体育场,tǐ yù chǎng,stadium,2
675,体育馆,tǐ yù guǎn,stadium; gymnasium; gym,2
676,天上,tiān shàng,the sky; heaven,2
677,条件,tiáojiàn,condition,2
678,听讲,tīng jiǎng,attend a lecture; listen to a talk,2
679,听说,tīng shuō,be told; hear of,2
680,停车,tíng chē,park,2
681,停车场,tíng chē chǎng,parking lot,2
682,挺好,tǐng hǎo,very good; not half bad,2
683,通过,tōngguò,adopt,2
684,通知,tōngzhī,notice,2
685,同时,tóngshí,meanwhile,2
686,同事,tóngshì,Colleague,2
687,同样,tóng yàng,same,2
688,头发,tóufa,Hair,2
689,图片,tú piàn,picture; photograph,2
690,外地,wài dì,other places; nonlocal,2
691,外卖,wài mài,takeaway; take out,2
692,完成,wánchéng,complete,2
693,完全,wánquán,completely,2
694,晚安,wǎn ān,good night,2
695,晚报,wǎn bào,evening paper; evening news,2
696,晚餐,wǎn cān,dinner; supper,2
697,晚会,wǎn huì,evening party,2
698,网球,wǎngqiú,Tennis,2
699,网站,wǎngzhàn,website,2
700,为什么,wèishénme,Why,2
701,味道,wèidào,taste,2
702,温度,wēndù,temperature,2
703,问路,wèn lù,ask for directions,2
704,问题,wèntí,problem,2
705,午餐,wǔ cān,lunch,2
706,午睡,wǔ shuì,nap,2
707,西北,xī běi,northwest,2
708,西餐,xī cān,western food,2
709,西方,xī fāng,west,2
710,西南,xī nán,southwest,2
711,西医,xī yī,western medicine,2
712,习惯,xíguàn,Habit,2
713,洗衣机,xǐ yī jī,washing machine,2
714,洗澡,xǐzǎo,Take a shower,2
715,下雪,xià xuě,snow; snowing,2
716,下周,xià zhōu,next week,2
717,夏天,xià tiān,summer,2
718,相同,xiāngtóng,identical,2
719,相信,xiāngxìn,believe,2
720,想到,xiǎng dào,think of; call to mind; have at heart,2
721,想法,xiǎng fǎ,idea; opinion;thought,2
722,想起,xiǎng qǐ,remember; recall; think of; call to mind,2
723,相机,xiàng jī,camera,2
724,小声,xiǎo shēng,in a low voice; in whispers,2
725,小时候,xiǎo shí hou,in one’s childhood; when one was young,2
726,小说,xiǎoshuō,Novel,2
727,小心,xiǎoxīn,Look out,2
728,小组,xiǎo zǔ,group,2
729,校园,xiào yuán,campus; schoolyard,2
730,校长,xiàozhǎng,Principal,2
731,笑话,xiàohua,joke,2
732,笑话儿,xiào huàr,joke,2
733,心里,xīn lǐ,in the heart; at heart,2
734,心情,xīnqíng,mood,2
735,心中,xīn zhōng,in the heart; at heart; in mind,2
736,新闻,xīnwén,news,2
737,信号,xìnhào,signal,2
738,信息,xìnxī,information,2
739,信心,xìnxīn,confidence,2
740,信用卡,xìnyòngkǎ,Credit card,2
741,星星,xīng xing,star,2
742,行动,xíngdòng,Get some action,2
743,行人,xíngrén,pedestrian,2
744,行为,xíngwéi,behavior,2
745,姓名,xìng míng,full name,2
746,休假,xiū jià,have a holiday; take a vacation; be on furlough,2
747,许多,xǔduō,many,2
748,学期,xuéqī,Semester,2
749,颜色,yánsè,colour,2
750,眼睛,yǎnjing,Eye,2
751,样子,yàngzi,A look,2
752,要求,yāoqiú,Requirement,2
753,药店,yào diàn,pharmacy,2
754,药片,yào piàn,pill,2
755,药水,yào shuǐ,liquid medicine; potion,2
756,也许,yěxǔ,perhaps,2
757,夜里,yè lǐ,at night,2
758,一部分,yí bù fèn,a part; a portion,2
