word_id,hanzi,pinyin,meaning,hsk_level,is_compound
149,记,jì,"record; keep in mind, remember",1,0
150,南,nán,south; southern part; southward,1,0
151,住,zhù,"reside, live at, dwell, lodge; stop",1,0
152,告,gào,"tell, announce, inform; accuse",1,0
153,北,běi,north; northern; northward,1,0
154,边,biān,"edge, margin, side, border",1,0
155,觉,jué,to wake up from sleep; conscious,1,0
156,师,shī,"teacher, master, specialist",1,0
157,今,jīn,"now, today, modern era",1,0
158,院,yuàn,"courtyard, yard, court; school",1,0
159,识,shí,"recognize, understand, know",1,0
160,候,hòu,wait; expect; visit; greet,1,0
161,笑,xiào,"smile, laugh, giggle; snicker",1,0
162,飞,fēi,fly; go quickly; dart; high,1,0
163,风,fēng,"wind; air; manners, atmosphere",1,0
164,干,gàn,"oppose, offend; invade; dried",1,0
165,车,chē,"cart, vehicle; carry in cart",1,0
166,服,fú,"clothes; wear, dress",1,0
167,快,kuài,"rapid, quick, speedy, fast; soon",1,0
168,元,yuán,first; dollar; origin; head,1,0
169,准,zhǔn,"approve, allow, permit; in accord",1,0
170,怎,zěn,what? why? how?,1,0
171,呢,ne,interrogative or emphatic final; (Cant.) this,1,0
172,远,yuǎn,"distant, remote, far; profound",1,0
173,叫,jiào,"cry, shout; hail, greet, call",1,0
174,影,yǐng,"shadow; image, reflection; photograph",1,0
175,字,zì,"letter, character, word",1,0
176,爱,ài,"love, be fond of, like",1,0
177,备,bèi,"prepare, ready, perfect",1,0
178,商,shāng,"commerce, business, trade",1,0
179,百,bǎi,"one hundred; numerous, many",1,0
180,花,huā,flower; blossoms,1,0
181,请,qǐng,"ask, request; invite; please",1,0
182,病,bìng,"illness, sickness, disease",1,0
183,息,xī,"rest, put stop to, end, cease",1,0
184,火,huǒ,"fire, flame; burn; anger, rage",1,0
185,视,shì,"look at, inspect, observe, see",1,0
186,九,jiǔ,nine,1,0
187,写,xiě,"write; draw, sketch; compose",1,0
188,八,bā,"eight; all around, all sides",1,0
189,吗,ma,final interrogative particle,1,0
190,包,bāo,"wrap, pack, bundle; package",1,0
191,早,zǎo,early; soon; morning,1,0
192,找,zhǎo,"search, seek, look for; find",1,0
193,吧,ba,emphatic final particle,1,0
194,吃,chī,"eat; drink; suffer, endure, bear",1,0
195,图,tú,"diagram; chart, map, picture",1,0
196,六,liù,number six,1,0
197,医,yī,"cure, heal; doctor, medical",1,0
198,号,hào,"mark, sign; symbol; number",1,0
199,语,yǔ,"language, words; saying, expression",1,0
200,考,kǎo,"examine, test; investigate",1,0
201,房,fáng,"house, building; room",1,0
202,半,bàn,half,1,0
203,七,qī,seven,1,0
204,兴,xìng,"thrive, prosper, flourish",1,0
205,孩,hái,"baby, child; children",1,0
206,星,xīng,"a star, planet; any point of light",1,0
207,跟,gēn,"heel; to follow, accompany; with",1,0
208,站,zhàn,"stand up; a stand, station",1,0
209,答,dá,"answer, reply; return; assent to",1,0
210,京,jīng,capital city,1,0
211,米,mǐ,hulled or husked uncooked rice,1,0
212,客,kè,"guest, traveller; customer",1,0
213,友,yǒu,"friend, companion; fraternity",1,0
214,诉,sù,accuse; sue; inform; narrate,1,0
215,男,nán,"male, man; son; baron; surname",1,0
216,钱,qián,"money, currency, coins",1,0
217,网,wǎng,net; network; KangXi radical 122,1,0
218,热,rè,hot; heat; fever; restless; zeal,1,0
219,坐,zuò,"sit; seat; ride, travel by",1,0
220,毛,máo,"hair, fur, feathers; coarse",1,0
221,球,qiú,"ball, sphere, globe; round",1,0
222,校,xiào,school; military field officer,1,0
223,假,jiǎ,"falsehood, deception; vacation",1,0
224,错,cuò,"error, blunder, mistake; wrong",1,0
225,晚,wǎn,"night, evening; late",1,0
226,试,shì,"test, try, experiment",1,0
227,拿,ná,"take, hold, grasp; bring; with",1,0
228,脑,nǎo,brain,1,0
229,谁,shuí,who? whom? whose? anyone?,1,0
230,哪,nǎ,which? where? how?,1,0
231,送,sòng,"see off, send off; dispatch, give",1,0
232,喜,xǐ,"like, love, enjoy; joyful thing",1,0
233,习,xí,practice; flapping wings,1,0
234,欢,huān,"happy, pleased, glad; joy; enjoy",1,0
235,树,shù,"tree; plant; set up, establish",1,0
236,冷,lěng,"cold, cool; lonely",1,0
237,汉,hàn,Chinese people; Chinese language,1,0
238,衣,yī,"clothes, clothing; cover, skin",1,0
239,您,nín,"you (courteous, as opposed to informal 你)",1,0
240,差,chà,"to differ; different, wrong; nearly, almost; an officer",1,0
241,妈,mā,"mother, mama",1,0
242,读,dú,"read, study; pronounce",1,0
243,买,mǎi,"buy, purchase; bribe, persuade",1,0
244,帮,bāng,"help, assist; defend; shoe upper",1,0
245,岁,suì,year; age; harvest,1,0
246,左,zuǒ,"left; east; unorthodox, improper",1,0
247,右,yòu,right; west; right-wing,1,0
248,穿,chuān,"penetrate, pierce, drill; wear",1,0
249,块,kuài,"piece, lump; dollar",1,0
250,哥,gē,elder brother,1,0
251,弟,dì,"young brother; junior; i, me",1,0
252,慢,màn,"slow(ly), leisurely, sluggish",1,0
253,忙,máng,"busy, pressed for time; hustling",1,0
254,姐,jiě,"elder sister, young lady",1,0
255,介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",1,0
256,坏,huài,"rotten, spoilt, bad, broken down",1,0
257,跑,pǎo,"run, flee, leave in hurry",1,0
258,贵,guì,"expensive, costly, valuable",1,0
259,楼,lóu,building of two or more stories,1,0
260,朋,péng,"friend, pal, acquaintance",1,0
261,班,bān,"class, group, grade; squad; job",1,0
262,谢,xiè,thank; decline,1,0
263,票,piào,slip of paper or bamboo; ticket,1,0
264,雨,yǔ,rain; rainy; KangXi radical 173,1,0
265,饭,fàn,"cooked rice; food, meal",1,0
266,睡,shuì,"sleep, doze",1,0
267,旁,páng,"side; by side, close by, near",1,0
268,喝,hē,"drink; shout, call out",1,0
269,午,wǔ,noon; 7th terrestrial branch,1,0
270,爷,yé,"father, grandfather",1,0
271,肉,ròu,flesh; meat; KangXi radical 130,1,0
272,馆,guǎn,public building,1,0
273,牛,niú,"cow, ox, bull; KangXi radical93",1,0
274,歌,gē,"song, lyrics; sing, chant; praise",1,0
275,店,diàn,"shop, store; inn, hotel",1,0
276,爸,bà,"father, papa",1,0
277,忘,wàng,"forget; neglect; miss, omit",1,0
278,床,chuáng,"bed, couch; framework, chassis",1,0
279,玩,wán,"play with, joke, enjoy",1,0
280,休,xiū,"rest, stop; retire; do not!",1,0
281,页,yè,"page, sheet, leaf; rad. no. 181",1,0
282,妹,mèi,younger sister,1,0
283,桌,zhuō,"table, desk, stand",1,0
284,汽,qì,"steam, vapor, gas",1,0
285,课,kè,lesson; course; classwork,1,0
286,绍,shào,"continue, carry on; join",1,0
287,洗,xǐ,"wash, rinse; clean, purify",1,0
288,唱,chàng,"sing, chant, call; ditty, song",1,0
289,菜,cài,"vegetables; dish, order; food",1,0
290,茶,chá,tea,1,0
291,奶,nǎi,breast; milk; to breastfeed; mother,1,0
292,累,lèi,"tired; implicate, involve; bother",1,0
293,零,líng,"zero; fragment, fraction",1,0
294,净,jìng,"clean, pure; cleanse",1,0
295,蛋,dàn,eggs; term of abuse,1,0
296,鸡,jī,chicken,1,0
297,杯,bēi,"cup, glass",1,0
298,昨,zuó,"yesterday; in former times, past",1,0
299,饿,è,hungry; greedy for; hunger,1,0
300,渴,kě,"thirsty, parched; yearn, pine",1,0
301,为,wèi,"do, handle, govern, act; be",2,0
302,以,yǐ,"by means of; thereby, therefore; consider as; in order to",2,0
303,可,kě,"may, can, -able; possibly",2,0
304,而,ér,and; and then; and yet; but,2,0
305,于,yú,"in, on, at; go to; surname",2,0
306,自,zì,"self, private, personal; from",2,0
307,发,fā,"issue, dispatch, send out; hair",2,0
308,所,suǒ,"place, location; numerary adjunct",2,0
309,然,rán,"yes, certainly; pledge, promise",2,0
310,成,chéng,"completed, finished, fixed",2,0
311,经,jīng,classic works; pass through,2,0
312,法,fǎ,"law, rule, regulation, statute; France, French",2,0
313,如,rú,"if, supposing; as if; like, as",2,0
314,当,dāng,"bear, accept, undertake; just",2,0
315,定,dìng,"decide, settle, fix",2,0
316,部,bù,"part, division, section",2,0
317,其,qí,"his, her, its, their; that",2,0
318,主,zhǔ,"master, chief owner; host; lord",2,0
319,理,lǐ,"reason, logic; manage",2,0
320,心,xīn,"heart; mind, intelligence; soul",2,0
321,但,dàn,"only; but, however, yet, still",2,0
322,因,yīn,"cause, reason; by; because (of)",2,0
323,只,zhǐ,"only, just, simply",2,0
324,实,shí,"real, true; honest, sincere",2,0
325,者,zhě,that which; he who; those who,2,0
326,意,yì,"thought, idea, opinion; think",2,0
327,力,lì,"power, capability, influence",2,0
328,它,tā,it; other,2,0
329,长,zhǎng,long; length; excel in; leader,2,0
330,公,gōng,"fair, equitable; public; duke",2,0
331,已,yǐ,already; finished; stop,2,0
332,使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",2,0
333,情,qíng,"feeling, sentiment, emotion",2,0
334,全,quán,"maintain, keep whole or intact",2,0
335,又,yòu,"and, also, again, in addition",2,0
336,业,yè,"profession, business; GB radical 111",2,0
337,由,yóu,"cause, reason; from",2,0
338,物,wù,"thing, substance, creature",2,0
339,应,yīng,"should, ought to, must",2,0
340,向,xiàng,"toward, direction, trend",2,0
341,头,tóu,"head; top; chief, first; boss",2,0
342,相,xiāng,"mutual, reciprocal, each other",2,0
343,利,lì,"gains, advantage, profit, merit",2,0
344,或,huò,"or, either, else; perhaps, maybe",2,0
345,己,jǐ,"self, oneself; personal, private; 6th heavenly stem",2,0
346,加,jiā,"add to, increase, augment",2,0
347,合,hé,"combine, unite, join; gather",2,0
348,特,tè,"special, unique, distinguished",2,0
349,信,xìn,"trust, believe; letter",2,0
350,表,biǎo,"show, express, manifest, display",2,0
351,位,wèi,"throne; position, post; rank, status; seat",2,0
352,度,dù,"degree, system; manner; to consider",2,0
353,海,hǎi,"sea, ocean; maritime",2,0
354,通,tōng,"pass through, common, communicate",2,0
355,原,yuán,"source, origin, beginning",2,0
356,声,shēng,"sound, voice, noise; tone; music",2,0
357,提,tí,hold in hand; lift in hand,2,0
358,论,lùn,debate; discuss; discourse,2,0
359,处,chù,"place, locale; department",2,0
360,入,rù,"enter, come in(to), join",2,0
361,平,píng,"flat, level, even; peaceful",2,0
362,题,tí,"forehead; title, headline; theme",2,0
363,活,huó,"live, exist, survive; lively",2,0
364,更,gèng,"more, still further, much more",2,0
365,变,biàn,"change, transform, alter; rebel",2,0
366,数,shù,"number; several, count; fate",2,0
367,安,ān,"peaceful, tranquil, quiet",2,0
368,报,bào,"report, tell, announce",2,0
369,才,cái,"talent, ability; just, only",2,0
370,结,jié,"knot, tie; join, connect",2,0
371,受,shòu,"receive, accept, get; bear, stand",2,0
372,目,mù,"eye; look, see; division, topic",2,0
373,量,liàng,"measure, quantity, capacity",2,0
374,感,gǎn,"feel, perceive, emotion",2,0
375,务,wù,"affairs, business; must, should",2,0
376,接,jiē,receive; continue; catch; connect,2,0
377,必,bì,"surely, most certainly; must",2,0
378,件,jiàn,numerary adjunct for article; matter,2,0
379,计,jì,"plan, plot; strategem; scheme",2,0
380,市,shì,"market, fair; city, town; trade",2,0
381,直,zhí,"straight, erect, vertical",2,0
382,克,kè,gram; overcome; transliteration,2,0
383,许,xǔ,"allow, permit; promise; betroth",2,0
384,队,duì,"team, group; army unit",2,0
385,便,biàn,"convenience, ease; expedient",2,0
386,空,kōng,"empty, hollow, bare, deserted",2,0
387,科,kē,"section, department, science",2,0
388,司,sī,"take charge of, control, manage; officer",2,0
389,眼,yǎn,"eye; eyelet, hole, opening",2,0
390,像,xiàng,"a picture, image, figure; to resemble",2,0
391,且,qiě,"moreover, also (post-subject); about to, will soon (pre-verb)",2,0
392,思,sī,"think, consider, ponder; final particle",2,0
393,王,wáng,"king, ruler; royal; surname",2,0
394,完,wán,"complete, finish, settle; whole",2,0
395,色,sè,"color, tint, hue, shade; form, body; beauty, desire for beauty",2,0
396,求,qiú,"seek; demand, request; beseech",2,0
397,该,gāi,"should, ought to, need to",2,0
398,交,jiāo,"mix; intersect; exchange, communicate; deliver",2,0
399,万,wàn,ten thousand; innumerable,2,0
400,取,qǔ,"take, receive, obtain; select",2,0
401,拉,lā,"pull, drag; seize, hold; lengthen",2,0
402,共,gòng,"together with, all, total; to share",2,0
403,确,què,"sure, certain; real, true",2,0
404,观,guān,"see, observe, view; appearance",2,0
405,清,qīng,"clear, pure, clean; peaceful",2,0
406,让,ràng,"allow, permit, yield, concede",2,0
407,带,dài,"belt, girdle, band, strap, zone",2,0
408,运,yùn,"run; simplified form of 運 luck, fortune; ship, transport",2,0
409,改,gǎi,"change, alter; improve, remodel",2,0
410,收,shōu,"gather together, collect; harvest",2,0
411,言,yán,"words, speech; speak, say",2,0
412,组,zǔ,"class; section, department",2,0
413,办,bàn,"manage, do, handle; deal with",2,0
414,往,wǎng,"go, depart; past, formerly",2,0
415,英,yīng,"petal, flower, leaf; brave, a hero; England, English",2,0
416,近,jìn,"near, close; approach; intimate",2,0
417,单,dān,"single, individual, only; lone",2,0
418,流,liú,"flow, circulate, drift; class",2,0
419,算,suàn,"count, calculate, figure; plan",2,0
420,级,jí,"level, rank, class; grade",2,0
421,离,lí,rare beast; strange; elegant,2,0
422,际,jì,"border, boundary, juncture",2,0
423,示,shì,"show, manifest; demonstrate",2,0
424,复,fù,return; repeat; repeatedly,2,0
425,满,mǎn,"fill; full, satisfied",2,0
426,越,yuè,"exceed, go beyond; the more ...",2,0
427,照,zhào,"shine, illumine, reflect",2,0
428,须,xū,"must, have to, necessary",2,0
429,称,chēng,"call; name, brand; address; say",2,0
430,片,piàn,"slice, splinter, strip; rad. 91",2,0
431,查,chá,"investigate, examine, seek into",2,0
432,轻,qīng,"light; easy, simple; gentle",2,0
433,装,zhuāng,"dress, clothes, attire; fill",2,0
434,广,guǎng,"wide, extensive, broad; rad. 53",2,0
435,周,zhōu,Zhou dynasty; circumference,2,0
436,青,qīng,"blue, green, black; young",2,0
437,随,suí,"follow, listen to, submit to",2,0
438,选,xuǎn,"choose, select; elect; election",2,0
439,红,hóng,"red, vermillion; blush, flush",2,0
440,响,xiǎng,"make sound, make noise; sound",2,0
441,虽,suī,"although, even if",2,0
442,推,tuī,"push, expel; push forward",2,0
443,参,cān,"take part in, intervene; ginseng",2,0
444,节,jié,"knot, node, joint; section",2,0
445,黑,hēi,"black; dark; evil, sinister",2,0
446,划,huà,to row or paddle boat; to scratch,2,0
447,态,tài,"manner, bearing, attitude",2,0
448,护,hù,"protect, guard, defend, shelter",2,0
449,够,gòu,"enough, adequate",2,0
450,音,yīn,"sound, tone, pitch, pronunciation",2,0
451,例,lì,"precedent, example; regulation",2,0
452,留,liú,"stop, halt; stay, detain, keep",2,0
453,讲,jiǎng,explain; discuss; talk,2,0
454,黄,huáng,yellow; surname,2,0
455,段,duàn,"section, piece, division",2,0
456,故,gù,"ancient, old; reason, because",2,0
457,河,hé,river; stream; yellow river,2,0
458,举,jǔ,"raise, lift up; recommend",2,0
459,低,dī,"low; to lower, hang, bend, bow",2,0
460,愿,yuàn,"sincere, honest, virtuous",2,0
461,千,qiān,"thousand; many, numerous; very; (Cant.) a cheater, swindler",2,0
462,助,zhù,"help, aid, assist",2,0
463,倒,dào,fall over; lie down; take turns,2,0
464,育,yù,"produce, give birth to; educate",2,0
465,船,chuán,"ship, boat, vessel",2,0
466,脸,liǎn,face; cheek; reputation,2,0
467,刻,kè,"carve, engrave; quarter hour",2,0
468,乐,lè,"happy, glad; enjoyable; music",2,0
469,刚,gāng,"hard, tough, rigid, strong",2,0
470,般,bān,"sort, manner, kind, category",2,0
471,普,pǔ,"universal, general, widespread",2,0
472,怕,pà,"to fear, be afraid of; apprehensive",2,0
473,久,jiǔ,"long time (ago); time passage, grow late",2,0
474,印,yìn,"print, seal, stamp, chop, mark",2,0
475,阳,yáng,positive (electric.); sun; male principle (Taoism),2,0
476,急,jí,"quick, quickly; urgent, pressing",2,0
477,药,yào,leaf of Dahurian angelica plant; medicine,2,0
478,适,shì,"go, reach; appropriate, suitable",2,0
479,夜,yè,"night, dark; in night; by night",2,0
480,省,shěng,"province; save, economize",2,0
481,食,shí,eat; meal; food; KangXi radical number 184,2,0
482,排,pái,"row, rank, line",2,0
483,云,yún,"say, speak; clouds",2,0
484,停,tíng,"stop, suspend, delay; suitable",2,0
485,游,yóu,"to swim; float, drift; wander, roam",2,0
486,层,céng,"storey, layer, floor, stratum",2,0
487,句,jù,sentence,2,0
488,室,shì,"room, home, house, chamber",2,0
489,卡,kǎ,"card, punch card; calorie",2,0
490,静,jìng,"quiet, still, motionless; gentle",2,0
491,检,jiǎn,check; examine,2,0
492,角,jiǎo,"horn; angle, corner; point",2,0
493,占,zhàn,divine; observe; versify,2,0
494,啊,a,exclamatory particle,2,0
495,超,chāo,"jump over, leap over; surpass",2,0
496,银,yín,"silver; cash, money, wealth",2,0
497,养,yǎng,"raise, rear, bring up; support",2,0
498,铁,tiě,"iron; strong, solid, firm",2,0
499,份,fèn,"portion, part; duty",2,0
500,背,bèi,back; back side; behind; betray,2,0
501,草,cǎo,"grass, straw, thatch, herbs",2,0
502,脚,jiǎo,"leg, foot; base, leg, foundation",2,0
503,酒,jiǔ,"wine, spirits, liquor, alcoholic beverage",2,0
504,靠,kào,"lean on, trust, depend on; near",2,0
505,座,zuò,"seat; stand, base",2,0
506,顾,gù,look back; look at; look after,2,0
507,换,huàn,change,2,0
508,闻,wén,hear; smell; make known; news,2,0
509,讨,tǎo,"to discuss; ask for, beg; demand; dun; marry",2,0
510,亮,liàng,"bright, brilliant, radiant, light",2,0
511,永,yǒng,"long, perpetual, eternal, forever",2,0
512,味,wèi,"taste, smell, odor; delicacy",2,0
513,掉,diào,"turn, move; shake, wag; drop down",2,0
514,鱼,yú,fish; surname; KangXi radical 195,2,0
515,楚,chǔ,name of feudal state; clear,2,0
516,温,wēn,lukewarm,2,0
517,封,fēng,"letter, envelope; feudal",2,0
518,画,huà,"a painting, picture, drawing; to draw",2,0
519,短,duǎn,"short; brief; deficient, lacking",2,0
520,康,kāng,"peaceful, quiet; happy, healthy",2,0
521,钟,zhōng,clock; bell,2,0
522,忽,hū,"suddenly, abruptly; neglect",2,0
523,湖,hú,"a lake; Hubei, Hunan; bluish-green",2,0
524,春,chūn,spring; wanton,2,0
525,礼,lǐ,social custom; manners; courtesy,2,0
526,板,bǎn,"plank, board; iron or tin plate",2,0
527,庭,tíng,courtyard; spacious hall or yard,2,0
528,睛,jīng,eyeball; pupil of eye,2,0
529,顺,shùn,"obey, submit to, go along with",2,0
530,油,yóu,"oil, fat, grease, lard; paints",2,0
531,旅,lǚ,"trip, journey; travel; traveler",2,0
532,笔,bǐ,writing brush; write; stroke,2,0
533,词,cí,"words; phrase, expression",2,0
534,卖,mài,sell; betray; show off,2,0
535,健,jiàn,"strong, robust, healthy; strength",2,0
536,堂,táng,hall; government office,2,0
537,借,jiè,borrow; lend; make pretext of,2,0
538,阴,yīn,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.),2,0
539,园,yuán,"garden; park, orchard",2,0
540,雪,xuě,"snow; wipe away shame, avenge",2,0
541,练,liàn,"to practice, drill, exercise, train",2,0
542,篇,piān,"chapter, section, essay, article",2,0
543,嘴,zuǐ,"mouth, lips",2,0
544,遍,biàn,"everywhere, all over, throughout",2,0
545,纸,zhǐ,paper,2,0
546,熟,shú,well-cooked; ripe; familiar with,2,0
547,典,diǎn,"law, canon; documentation; classic, scripture",2,0
548,弄,nòng,"do, play or fiddle with; alley",2,0
549,亿,yì,hundred million; many,2,0
550,迎,yíng,"receive, welcome, greet",2,0
551,努,nǔ,"to exert, strive, make an effort; to pout",2,0
552,绿,lǜ,green; chlorine,2,0
553,套,tào,"case, cover, wrapper, envelope",2,0
554,街,jiē,"street, road, thoroughfare",2,0
555,灯,dēng,"lantern, lamp",2,0
556,夏,xià,"summer; great, grand, big",2,0
557,姓,xìng,"family name, surname; to be surnamed",2,0
558,秋,qiū,"autumn, fall; year",2,0
559,末,mò,"final, last, end; insignificant",2,0
560,喊,hǎn,"shout, call out, yell; howl; cry",2,0
561,蓝,lán,blue; indigo plant; surname,2,0
562,哭,kū,"weep, cry, wail",2,0
563,懂,dǒng,"understand, comprehend",2,0
564,墙,qiáng,wall,2,0
565,惯,guàn,"habit, custom; habitually, usual",2,0
566,鸟,niǎo,bird; KangXi radical 196,2,0
567,咱,zán,"we, us",2,0
568,狗,gǒu,"dog, canis familiaris",2,0
569,宜,yí,"suitable, right, fitting, proper",2,0
570,腿,tuǐ,"legs, thighs",2,0
571,碰,pèng,"collide, bump into",2,0
